id,relevance,complexity,clarity,creativity,total_score
0,10,6,10,4,30
1,10,8,10,4,32
2,10,7,10,4,31
3,10,8,10,4,32
4,9,6,9,4,28
5,10,9,10,5,34
6,10,8,10,4,32
7,10,8,9,4,31
8,10,6,10,4,30
9,10,7,10,4,31
10,10,6,10,4,30
11,10,3,10,4,27
13,9,6,10,4,29
15,10,8,9,4,31
16,10,3,9,4,26
17,10,3,9,4,26
18,10,9,10,6,35
19,10,8,10,4,32
20,8,7,9,4,28
21,9,7,10,4,30
22,10,3,9,4,26
23,10,3,9,4,26
24,10,3,9,2,24
25,10,3,9,4,26
26,10,7,10,2,29
27,10,3,10,4,27
28,10,8,9,4,31
29,10,8,10,5,33
30,10,7,10,4,31
31,9,7,10,3,29
32,8,4,9,2,23
33,10,6,10,4,30
34,10,3,9,4,26
35,10,3,10,4,27
36,10,8,10,4,32
37,10,3,9,4,26
38,10,7,10,4,31
39,10,4,10,2,26
40,9,8,10,4,31
41,9,6,9,4,28
42,10,3,10,4,27
43,10,3,9,2,24
44,10,4,10,2,26
45,10,6,10,4,30
47,10,8,10,4,32
48,9,7,10,4,30
49,8,6,10,2,26
50,10,8,10,4,32
51,9,8,9,5,31
52,10,8,10,4,32
53,10,7,9,4,30
54,10,8,10,5,33
55,10,9,10,5,34
56,10,8,10,4,32
57,10,8,10,4,32
58,8,3,9,4,24
59,10,9,10,5,34
60,10,5,10,2,27
61,10,3,9,4,26
62,10,3,9,4,26
63,9,7,10,4,30
64,8,7,9,4,28
65,10,3,10,4,27
66,10,3,10,4,27
67,10,3,9,4,26
68,10,8,10,4,32
69,10,8,10,2,30
70,10,8,10,4,32
71,10,8,10,4,32
72,9,6,10,2,27
73,10,3,10,4,27
74,10,8,10,4,32
75,10,4,9,4,27
76,8,7,10,4,29
77,10,7,10,4,31
78,10,3,10,2,25
79,10,3,9,2,24
80,10,3,9,2,24
81,10,3,10,4,27
82,10,3,10,4,27
83,10,3,10,4,27
85,10,8,10,4,32
86,10,7,9,4,30
87,10,8,10,4,32
88,10,3,9,4,26
89,10,3,10,4,27
90,10,7,9,4,30
91,10,3,10,4,27
92,10,6,10,4,30
93,10,3,10,4,27
94,10,5,10,2,27
95,9,8,10,4,31
96,10,7,10,4,31
97,9,7,10,4,30
98,10,3,10,4,27
99,10,3,9,4,26
